國語,客語,音標,造句,備註
化膿,生膿,sang24 nung11,,
傷疤,爛疤,lan53 pa33,,
結痂,結瘌，結疤,kiet2 lat2, kiet2 pa33,,
拉肚子,痾落屎，痾洩巴,o33 lau55 shi31, o33 sia53 pa33,,
內傷,暗傷，內傷,am53 shiong33, nui53 shiong33,,
上火,熱氣，火大,ngiet5 khi53, fo31 thai53,,
身體所積的內熱,心火,sim24 fo31,,
便秘,秘結,pi55 kiet2,,
被蟲咬而發腫,起膀,khi31 phong11,,膀字借字音
皮膚上的水泡,水漂,shui31 phiau53,,
起雞皮疙瘩,起雞嬤皮,khi31 ke24 ma44 phi11,,
浮腫,浮浮腫腫,pho44 pho11 chiung31 chiung31,,
下巴脫臼,落下頷,lau53 ha55 ngam33,,
脫臼,lut khu,lut2 khu31,,
聲音沙啞,sau聲,sau33 shiang33,,
嘔吐,phon,phon33,,
吐血,phon血,phon24 hiet2,,
麻臉,麻面,ma44 mien53,,
臉部有傷痕,破相,pho55 siong53,,
雀斑,烏蠅屎,vu33 jin11 shi31,,
粉剌,長薯,chiong31 shu11,,
出麻疹,出麻,chhut2 ma11,,
斜眼,打鳥目，斜目,ta31 tiau24 muk2, chiak2 muk2,,
啞巴,啞狗,a31 kieu31,,
敷藥,貼藥,tiap2 jiok5,,
刮痧,kau背囊,kau11 poi53 nong11,,
把疾病傳染給人,chhie人,chhie53 ngin11,,
衣服,衫褲,sam33 khu53,,
外衣,外衫,nuai53 sam33,,
內衣,內衫，嫩衣,nui53 sam33, nun53 ji24,,
外套,襖,ou31,,
毛衣,膨線衫,phong55 sien53 sam3,,
絨衣,絨衫,jiong11 sam33,,
袖子,衫袖,sam33 tshiu53,,
衣服下擺,衫腳,sam24 kiok2,,
口袋,衫袋,sam33 thoi53,,
紐扣,紐,neu31,,
鎖眼,紐空,neu31 khung33,,
褲腰,褲頭,khu53 theu11,,
圍裙,圍身裙,vi11 shin24 khiun11,,
胸罩,shi mit tsii,shi44 mit5 tsii31,,
帽簷,帽椎,mo53 tsui33,,
髮夾,毛夾,mo33 kiap2,,
雨衣,水衣、雨衫,shui31 ji24, ji31 sam33,,
雨鞋,水鞋,shui31 he11,,
高跟鞋,高tsang鞋,ko33 tsang24 he11,,
木屐,屐,khiak5,,
手鐲,手ak,shui31 ak2,,
項鍊,phat鍊,phat5 lien53,,
耳環,耳鉤,ngi31 kieu33,,
乾飯,飯,phon53,,
稀飯,糜,moi11,,
